"filename", "language", "JSON with Comments", "JSON", "TypeScript", "Markdown", "PostCSS", "TypeScript JSX", "YAML", "XML", "Docker", "JavaScript", "Prisma", "Ignore", "JavaScript JSX", "HTML", "MS SQL", "comment", "blank", "total"
"c:\Users\Andriisav\Desktop\portfolio projects\booking\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\.prettierrc", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 1, 3, 41
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\jest.config.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\nest-cli.json", "JSON", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\package-lock.json", "JSON", 0, 16356, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16357
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\package.json", "JSON", 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 96
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\prisma.config.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 15
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\prisma\migrations\20260412172219_init_migration\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 24, 32, 142
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\prisma\migrations\20260418231805_migration_2\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 56, 41, 171
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\prisma\migrations\20260418231942_add_exclude_constraint\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 2, 12
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\prisma\schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 173, 0, 0, 0, 0, 3, 72, 248
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\app.module.ts", "TypeScript", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 64
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\common\constants\bookingStatuses.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\common\constants\roleLevels.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\common\decorators\accessInfo.decorator.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\common\decorators\authorization.decorator.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\common\decorators\cookies.decorator.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\common\decorators\reqRole.decorator.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\common\events\globalCompleted.event.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\common\guards\MyAuthGuard.guard.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
